bank,case,seed,model_type,use_macro,optimize,rmse,mae,mape,mse,summary_path,test_predictions_path
BBNI,bilstm_macro_ga,62,bilstm,True,True,590.3929305979196,497.8690490722656,9.838149070739746,348563.8125,results_study_full\BBNI\bilstm_macro_ga\seed_62\BBNI\summary_pytorch.json,results_study_full\BBNI\bilstm_macro_ga\seed_62\BBNI\test_predictions_pytorch.csv
BBNI,bilstm_macro_ga,72,bilstm,True,True,443.22498871904776,366.2949523925781,7.207015037536621,196448.390625,results_study_full\BBNI\bilstm_macro_ga\seed_72\BBNI\summary_pytorch.json,results_study_full\BBNI\bilstm_macro_ga\seed_72\BBNI\test_predictions_pytorch.csv
BBNI,bilstm_macro_ga,82,bilstm,True,True,359.4690963768652,297.4234924316406,5.872769832611084,129218.03125,results_study_full\BBNI\bilstm_macro_ga\seed_82\BBNI\summary_pytorch.json,results_study_full\BBNI\bilstm_macro_ga\seed_82\BBNI\test_predictions_pytorch.csv
BBRI,lstm_data,42,lstm,False,False,518.9034411622263,425.4913024902344,8.137055397033691,269260.78125,results_study_full\BBRI\lstm_data\seed_42\BBRI\summary_pytorch.json,results_study_full\BBRI\lstm_data\seed_42\BBRI\test_predictions_pytorch.csv
BBRI,lstm_data,52,lstm,False,False,952.9583542841733,857.6966552734375,16.686969757080078,908129.625,results_study_full\BBRI\lstm_data\seed_52\BBRI\summary_pytorch.json,results_study_full\BBRI\lstm_data\seed_52\BBRI\test_predictions_pytorch.csv
BBRI,lstm_data,62,lstm,False,False,616.0032467446905,495.7051696777344,9.39588737487793,379460.0,results_study_full\BBRI\lstm_data\seed_62\BBRI\summary_pytorch.json,results_study_full\BBRI\lstm_data\seed_62\BBRI\test_predictions_pytorch.csv
BBRI,lstm_data,72,lstm,False,False,889.3556656366451,778.6327514648438,15.024723052978516,790953.5,results_study_full\BBRI\lstm_data\seed_72\BBRI\summary_pytorch.json,results_study_full\BBRI\lstm_data\seed_72\BBRI\test_predictions_pytorch.csv
BBRI,lstm_data,82,lstm,False,False,685.323349777315,605.8988647460938,11.754823684692383,469668.09375,results_study_full\BBRI\lstm_data\seed_82\BBRI\summary_pytorch.json,results_study_full\BBRI\lstm_data\seed_82\BBRI\test_predictions_pytorch.csv
BBRI,lstm_macro,42,lstm,True,False,768.098829904069,704.2957763671875,13.80202579498291,589975.8125,results_study_full\BBRI\lstm_macro\seed_42\BBRI\summary_pytorch.json,results_study_full\BBRI\lstm_macro\seed_42\BBRI\test_predictions_pytorch.csv
BBRI,lstm_macro,52,lstm,True,False,724.2235497413765,611.4797973632812,11.704044342041016,524499.75,results_study_full\BBRI\lstm_macro\seed_52\BBRI\summary_pytorch.json,results_study_full\BBRI\lstm_macro\seed_52\BBRI\test_predictions_pytorch.csv
BBRI,lstm_macro,62,lstm,True,False,629.3763282011804,526.0305786132812,10.077381134033203,396114.5625,results_study_full\BBRI\lstm_macro\seed_62\BBRI\summary_pytorch.json,results_study_full\BBRI\lstm_macro\seed_62\BBRI\test_predictions_pytorch.csv
BBRI,lstm_macro,72,lstm,True,False,768.6292994675651,702.4346923828125,13.740507125854492,590791.0,results_study_full\BBRI\lstm_macro\seed_72\BBRI\summary_pytorch.json,results_study_full\BBRI\lstm_macro\seed_72\BBRI\test_predictions_pytorch.csv
BBRI,lstm_macro,82,lstm,True,False,725.6555656783734,655.466552734375,12.785185813903809,526576.0,results_study_full\BBRI\lstm_macro\seed_82\BBRI\summary_pytorch.json,results_study_full\BBRI\lstm_macro\seed_82\BBRI\test_predictions_pytorch.csv
BBRI,bilstm_data,42,bilstm,False,False,587.5435622147519,498.5445556640625,9.596131324768066,345207.4375,results_study_full\BBRI\bilstm_data\seed_42\BBRI\summary_pytorch.json,results_study_full\BBRI\bilstm_data\seed_42\BBRI\test_predictions_pytorch.csv
BBRI,bilstm_data,52,bilstm,False,False,368.1791131704785,259.94964599609375,4.8358988761901855,135555.859375,results_study_full\BBRI\bilstm_data\seed_52\BBRI\summary_pytorch.json,results_study_full\BBRI\bilstm_data\seed_52\BBRI\test_predictions_pytorch.csv
BBRI,bilstm_data,62,bilstm,False,False,677.4905211514033,582.2472534179688,11.20349407196045,458993.40625,results_study_full\BBRI\bilstm_data\seed_62\BBRI\summary_pytorch.json,results_study_full\BBRI\bilstm_data\seed_62\BBRI\test_predictions_pytorch.csv
BBRI,bilstm_data,72,bilstm,False,False,558.9113022206654,477.8772277832031,9.19532585144043,312381.84375,results_study_full\BBRI\bilstm_data\seed_72\BBRI\summary_pytorch.json,results_study_full\BBRI\bilstm_data\seed_72\BBRI\test_predictions_pytorch.csv
BBRI,bilstm_data,82,bilstm,False,False,436.39254476331286,358.5824890136719,6.860594272613525,190438.453125,results_study_full\BBRI\bilstm_data\seed_82\BBRI\summary_pytorch.json,results_study_full\BBRI\bilstm_data\seed_82\BBRI\test_predictions_pytorch.csv
BBRI,bilstm_macro,42,bilstm,True,False,666.574522277892,560.009765625,10.71399211883545,444321.59375,results_study_full\BBRI\bilstm_macro\seed_42\BBRI\summary_pytorch.json,results_study_full\BBRI\bilstm_macro\seed_42\BBRI\test_predictions_pytorch.csv
BBRI,bilstm_macro,52,bilstm,True,False,601.4628001796953,483.66436767578125,9.169666290283203,361757.5,results_study_full\BBRI\bilstm_macro\seed_52\BBRI\summary_pytorch.json,results_study_full\BBRI\bilstm_macro\seed_52\BBRI\test_predictions_pytorch.csv
BBRI,bilstm_macro,62,bilstm,True,False,650.9878791114317,571.5594482421875,11.06821346282959,423785.21875,results_study_full\BBRI\bilstm_macro\seed_62\BBRI\summary_pytorch.json,results_study_full\BBRI\bilstm_macro\seed_62\BBRI\test_predictions_pytorch.csv
BBRI,bilstm_macro,72,bilstm,True,False,705.2679012261937,632.4727783203125,12.341057777404785,497402.8125,results_study_full\BBRI\bilstm_macro\seed_72\BBRI\summary_pytorch.json,results_study_full\BBRI\bilstm_macro\seed_72\BBRI\test_predictions_pytorch.csv
