"bank","case","runs","rmse_mean","mae_mean","mape_mean","mse_mean"
"BBTN","lstm_attention_data_ga","5","150.98701380478","129.335751342773","9.72315378189087","24065.3694335938"
"BBTN","bilstm_post_norm_macro","5","157.26687849519","138.385504150391","10.2155486106873","26310.069140625"
"BBTN","cnn_bilstm_macro_ga","5","162.579743753535","140.49122467041","10.4106573104858","31163.3138671875"
"BBTN","lstm_post_norm_data_ga","5","165.56531233999","153.219038391113","11.4909616470337","28237.0625"
"BBTN","cnn_bilstm_data","5","167.523140753263","157.084957885742","11.7602579116821","28934.45625"
"BBTN","bilstm_post_norm_data","5","171.640648313969","158.655676269531","11.953161239624","30147.6287109375"
"BBTN","cnn_bilstm_macro","5","184.274179319145","167.242778015137","12.3895587921143","35556.3380859375"
"BBTN","cnn_lstm_macro","5","185.360444889589","162.550352478027","11.9036867141724","35219.890234375"
"BBTN","lstm_post_norm_macro","5","186.336115507152","173.410009765625","12.9307076454163","44360.4201171875"
"BBTN","lstm_post_norm_macro_ga","5","205.199004511119","189.796421051025","14.2789348602295","59045.1048828125"
"BBTN","lstm_post_norm_data","5","206.581489598662","191.286169433594","14.382227897644","43829.023046875"
"BBTN","lstm_pre_post_norm_macro","5","216.421477255027","203.622800445557","15.2999707221985","56514.6423828125"
"BBTN","bilstm_post_norm_macro_ga","5","224.464042280511","206.107496643066","15.4740212440491","56007.32265625"
"BBTN","lstm_pre_norm_macro","5","251.161604711386","237.763108825684","18.0691124916077","77536.1012695313"
"BBTN","bilstm_pre_post_norm_macro","5","258.045954547727","245.56032409668","18.3284363746643","81449.38046875"
"BBTN","lstm_pre_norm_data","5","258.765569091655","203.495770263672","14.7052270889282","68054.671875"
"BBTN","lstm_pre_post_norm_macro_ga","5","275.14273681227","257.655268859863","19.5096653938293","98986.4736328125"
"BBTN","lstm_attention_macro","5","275.186331872166","260.401651000977","19.7487874984741","79690.31953125"
"BBTN","bilstm_pre_post_norm_macro_ga","5","276.125461338491","259.206503295898","19.6067030906677","93405.0953125"
"BBTN","bilstm_pre_post_norm_data_ga","5","276.500052651335","242.927363586426","18.1651571273804","84754.26171875"
"BBTN","bilstm_pre_norm_data","5","279.943370102049","209.333160400391","14.9686037063599","79616.5609375"
"BBTN","lstm_pre_post_norm_data","5","287.777812124367","221.330844116211","15.9192119598389","85029.72265625"
"BBTN","bilstm_pre_norm_macro","5","299.642141125225","288.591018676758","21.8385093688965","101783.4625"
"BBTN","bilstm_pre_post_norm_data","5","301.456114172334","215.8755859375","15.2559963226318","91009.86875"
"BBTN","bilstm_attention_macro","5","304.799156280249","294.107720947266","22.1555511474609","95468.15390625"
"BBTN","lstm_attention_macro_ga","5","317.461597139486","297.991500854492","22.6978607177734","106779.82421875"
"BBTN","bilstm_attention_macro_ga","5","322.226352915422","304.658416748047","23.2041139602661","119254.769921875"
"BBTN","lstm_pre_norm_macro_ga","5","339.782152028387","323.966925048828","24.6758209228516","120158.96328125"
"BBTN","bilstm_pre_norm_data_ga","5","340.275758854045","324.885928344727","24.7268173217773","121763.05546875"
"BBTN","lstm_pre_post_norm_data_ga","5","340.56234226446","318.00597076416","23.7577814102173","135097.908984375"
"BBTN","lstm_pre_norm_data_ga","5","346.209107186316","331.606008911133","25.0277351379395","131842.39921875"
"BBTN","bilstm_pre_norm_macro_ga","5","352.636448895113","335.766534423828","25.5747283935547","132750.63828125"
"BDMN","cnn_bilstm_data_ga","5","116.728916923496","89.558854675293","3.39592633247375","13734.371484375"
"BDMN","cnn_lstm_data_ga","5","120.646283545332","92.3226745605469","3.5271505355835","15075.738671875"
"BDMN","cnn_lstm_data","5","143.609047691091","113.489640808105","4.32010807991028","21867.948828125"
"BDMN","cnn_bilstm_data","5","146.488597765244","114.716513061523","4.39969305992126","21916.9904296875"
"BDMN","bilstm_post_norm_data_ga","5","185.143237200327","162.386685180664","6.13608589172363","36532.97890625"
"BDMN","bilstm_post_norm_data","5","192.528107340934","161.98985748291","6.12575354576111","41979.788671875"
"BDMN","cnn_bilstm_macro","5","201.275893265516","175.813270568848","6.67373151779175","42475.1140625"
"BDMN","cnn_bilstm_macro_ga","5","216.574118030374","187.784326171875","7.13671112060547","49730.616796875"
"BDMN","lstm_post_norm_data_ga","5","228.143193869349","188.886477661133","7.12611751556396","53554.946875"
"BDMN","cnn_lstm_macro","5","262.625443854145","237.374520874023","8.99020519256592","75622.291015625"
"BDMN","lstm_post_norm_data","5","268.737156725288","229.101620483398","8.77450075149536","72919.39609375"
"BDMN","cnn_lstm_macro_ga","5","284.808776295184","266.660064697266","10.0688587188721","83262.5109375"
"BDMN","bilstm_post_norm_macro","5","373.419780302312","329.731280517578","12.5163612365723","169252.721875"
"BDMN","bilstm_attention_data_ga","5","410.769225087408","384.803350830078","14.3585296154022","189865.016601563"
"BDMN","lstm_post_norm_macro_ga","5","413.411809401848","370.722940063477","13.9705174446106","200057.3375"
"BDMN","lstm_post_norm_macro","5","427.032223808552","386.894860839844","14.5789632797241","190981.3734375"
"BDMN","bilstm_attention_data","5","445.74748004604","415.072045898438","15.3372138977051","202736.34375"
"BDMN","bilstm_post_norm_macro_ga","5","456.807507790155","426.602862548828","15.8739591598511","255662.96328125"
"BDMN","lstm_pre_post_norm_macro_ga","5","512.564051703392","455.531719970703","17.2271858215332","305114.6765625"
"BDMN","bilstm_pre_post_norm_data","5","593.728055526114","519.865283203125","19.1351263046265","366529.425"
"BDMN","lstm_pre_norm_data_ga","5","601.127717546658","521.424505615234","19.1889080047607","365648.575"
"BDMN","bilstm_pre_norm_data","5","601.718243888176","570.996929931641","21.1064277648926","367466.203125"
"BDMN","bilstm_pre_post_norm_macro_ga","5","613.225365554152","563.244299316406","21.0791955947876","443451.3125"
"BDMN","lstm_attention_data_ga","5","626.496463151765","609.513256835937","22.8281177520752","398174.8"
"BDMN","lstm_pre_post_norm_data_ga","5","650.446531486949","575.759100341797","21.2566434860229","458334.74375"
